Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
2021,Spider-Man: No Way Home,5083.954,8940,POPULAR,Action
2021,Spider-Man: No Way Home,5083.954,8940,POPULAR,Adventure
2021,Spider-Man: No Way Home,5083.954,8940,POPULAR,Science Fiction
2022,The Batman,3827.658,1151,POPULAR,Crime
2022,The Batman,3827.658,1151,POPULAR,Mystery
2022,The Batman,3827.658,1151,POPULAR,Thriller
2022,No Exit,2618.087,122,BELOW_AVERAGE,Thriller
2021,Encanto,2402.201,5076,POPULAR,Animation
2021,Encanto,2402.201,5076,POPULAR,Comedy
2021,Encanto,2402.201,5076,POPULAR,Family
2021,Encanto,2402.201,5076,POPULAR,Fantasy
2021,The King's Man,1895.511,1793,AVERAGE,Action
2021,The King's Man,1895.511,1793,AVERAGE,Adventure
2021,The King's Man,1895.511,1793,AVERAGE,Thriller
2021,The King's Man,1895.511,1793,AVERAGE,War
2022,The Commando,1750.484,33,AVERAGE,Action
2022,The Commando,1750.484,33,AVERAGE,Crime
2022,The Commando,1750.484,33,AVERAGE,Thriller
2022,Scream,1675.161,821,AVERAGE,Horror
2022,Scream,1675.161,821,AVERAGE,Mystery
2022,Scream,1675.161,821,AVERAGE,Thriller
2022,Kimi,1601.782,206,BELOW_AVERAGE,Thriller
2022,Fistful of Vengeance,1594.013,114,NOT_POPULAR,Action
2022,Fistful of Vengeance,1594.013,114,NOT_POPULAR,Crime
2022,Fistful of Vengeance,1594.013,114,NOT_POPULAR,Fantasy
2021,Eternals,1537.406,4726,POPULAR,Science Fiction
2022,Pursuit,1500.523,16,NOT_POPULAR,Action
2022,Pursuit,1500.523,16,NOT_POPULAR,Crime
2022,Pursuit,1500.523,16,NOT_POPULAR,Thriller
2021,My Hero Academia: World Heroes' Mission,1485.064,100,POPULAR,Animation
2021,My Hero Academia: World Heroes' Mission,1485.064,100,POPULAR,Action
2021,My Hero Academia: World Heroes' Mission,1485.064,100,POPULAR,Fantasy
2021,My Hero Academia: World Heroes' Mission,1485.064,100,POPULAR,Adventure
2022,Restless,1468.377,107,NOT_POPULAR,Action
2022,Restless,1468.377,107,NOT_POPULAR,Thriller
2022,Restless,1468.377,107,NOT_POPULAR,Crime
2021,Nightmare Alley,1455.144,952,AVERAGE,Crime
2021,Nightmare Alley,1455.144,952,AVERAGE,Drama
2021,Nightmare Alley,1455.144,952,AVERAGE,Thriller
2022,The Ice Age Adventures of Buck Wild,1431.307,737,AVERAGE,Animation
2022,The Ice Age Adventures of Buck Wild,1431.307,737,AVERAGE,Comedy
2022,The Ice Age Adventures of Buck Wild,1431.307,737,AVERAGE,Adventure
2022,The Ice Age Adventures of Buck Wild,1431.307,737,AVERAGE,Family
2022,Hotel Transylvania: Transformania,1373.778,288,AVERAGE,Animation
2022,Hotel Transylvania: Transformania,1373.778,288,AVERAGE,Family
2022,Hotel Transylvania: Transformania,1373.778,288,AVERAGE,Fantasy
2022,Hotel Transylvania: Transformania,1373.778,288,AVERAGE,Comedy
2022,Hotel Transylvania: Transformania,1373.778,288,AVERAGE,Adventure
2022,Texas Chainsaw Massacre,1312.79,521,NOT_POPULAR,Horror
2022,The Requin,1252.317,65,NOT_POPULAR,Thriller
2022,Looop Lapeta,1240.946,31,BELOW_AVERAGE,Action
2022,Looop Lapeta,1240.946,31,BELOW_AVERAGE,Comedy
2022,Looop Lapeta,1240.946,31,BELOW_AVERAGE,Crime
2021,Red Notice,1178.544,3193,AVERAGE,Action
2021,Red Notice,1178.544,3193,AVERAGE,Comedy
2021,Red Notice,1178.544,3193,AVERAGE,Crime
2021,Red Notice,1178.544,3193,AVERAGE,Thriller
2021,Sing 2,1112.9,2172,POPULAR,Animation
2021,Sing 2,1112.9,2172,POPULAR,Comedy
2021,Sing 2,1112.9,2172,POPULAR,Family
2021,Sing 2,1112.9,2172,POPULAR,Music
2022,The Jack in the Box: Awakening,1096.79,43,NOT_POPULAR,Horror
2021,Venom: Let There Be Carnage,1053.615,6539,AVERAGE,Science Fiction
2021,Venom: Let There Be Carnage,1053.615,6539,AVERAGE,Action
2021,Venom: Let There Be Carnage,1053.615,6539,AVERAGE,Adventure
2021,The Matrix Resurrections,941.024,3160,AVERAGE,Science Fiction
2021,The Matrix Resurrections,941.024,3160,AVERAGE,Action
2021,The Matrix Resurrections,941.024,3160,AVERAGE,Adventure
2021,Resident Evil: Welcome to Raccoon City,881.086,1312,BELOW_AVERAGE,Horror
2021,Resident Evil: Welcome to Raccoon City,881.086,1312,BELOW_AVERAGE,Action
2021,Resident Evil: Welcome to Raccoon City,881.086,1312,BELOW_AVERAGE,Science Fiction
2021,Last Man Down,869.605,318,BELOW_AVERAGE,Action
2021,Last Man Down,869.605,318,BELOW_AVERAGE,Thriller
2022,American Siege,867.326,49,NOT_POPULAR,Action
2022,American Siege,867.326,49,NOT_POPULAR,Thriller
2022,American Siege,867.326,49,NOT_POPULAR,Crime
2022,American Siege,867.326,49,NOT_POPULAR,Drama
2022,Uncharted,866.391,691,AVERAGE,Action
2022,Uncharted,866.391,691,AVERAGE,Adventure
2020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,845.992,2224,POPULAR,Animation
2020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,845.992,2224,POPULAR,Action
2020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,845.992,2224,POPULAR,Adventure
2020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,845.992,2224,POPULAR,Fantasy
2021,Ghostbusters: Afterlife,839.904,2225,POPULAR,Fantasy
2021,Ghostbusters: Afterlife,839.904,2225,POPULAR,Comedy
2021,Ghostbusters: Afterlife,839.904,2225,POPULAR,Adventure
2022,The 355,781.748,313,BELOW_AVERAGE,Action
2022,The 355,781.748,313,BELOW_AVERAGE,Thriller
2021,Shang-Chi and the Legend of the Ten Rings,769.185,5845,POPULAR,Action
2021,Shang-Chi and the Legend of the Ten Rings,769.185,5845,POPULAR,Adventure
2021,Shang-Chi and the Legend of the Ten Rings,769.185,5845,POPULAR,Fantasy
2022,Marry Me,761.793,230,AVERAGE,Romance
2022,Marry Me,761.793,230,AVERAGE,Comedy
2022,Marry Me,761.793,230,AVERAGE,Music
